l1Pt,l1Eta,l1Phi,l1E,l2Pt,l2Eta,l2Phi,l2E
20.68014,0.62710,-0.40585,24.88146,32.38106,-1.41652,2.47725,70.67630
19.99813,2.45069,0.01845,116.81478,27.03359,4.73136,2.85309,1533.59851
38.44806,3.29056,-0.67811,517.03375,37.08212,2.61879,2.46453,255.71742
37.66831,-2.07894,1.91358,152.95296,42.84651,-2.11563,-0.46134,180.28415
34.10060,0.10928,-2.05756,34.30444,33.64215,1.28504,0.91529,65.45831
5.01372,-0.31053,2.43589,5.25740,27.03493,-4.00625,2.59592,742.90247
14.12618,-3.56251,-0.56431,249.18654,5.25889,0.88042,-2.57371,7.43217
21.78952,-0.95030,1.32925,32.39125,25.22555,0.87525,-1.24690,35.52040
32.48061,-0.77648,-0.06374,42.77421,39.46890,0.22565,3.00660,40.47803
30.16892,-0.58337,-0.45867,35.44971,14.34559,2.06060,-2.48796,57.22520
45.56216,-0.25106,-2.70237,47.00570,31.65886,-1.23734,0.26149,59.14795
38.56983,-2.73180,0.55230,297.48172,37.92663,-2.00958,-2.35560,144.01237
28.86901,1.31364,0.16530,57.57249,32.98602,2.76615,2.89226,263.23077
23.43611,-0.43250,0.98969,25.66241,17.66793,-2.97889,-1.99522,174.17810
21.46890,5.15101,-0.61892,1852.88635,20.61656,2.62700,2.48543,143.33223
41.01413,-3.98355,-1.13062,1101.76306,39.34723,-3.66752,1.94773,770.81708
9.67425,-2.44708,1.90352,56.30955,19.01954,1.47092,2.66160,43.58294
39.39375,1.18377,-2.56009,70.37257,47.72907,0.82716,-0.11714,65.00960
63.50158,-2.34526,2.00848,334.39474,23.88997,-2.31499,-1.22324,122.12115
22.93154,-0.68839,1.50530,28.58291,15.75977,2.18857,-0.27253,71.19124
37.72446,-1.98766,1.16900,140.24860,27.85057,-0.39899,-1.31232,30.09698
27.99201,-0.69914,-0.03337,35.11650,35.68251,-0.06468,-2.58286,35.75718
18.81318,-3.20618,-1.18779,232.57941,85.54819,-3.42697,1.67084,1318.11975
38.21480,-4.60079,1.53009,1902.57397,35.13153,-3.68128,-1.60916,697.75110
21.47960,3.33296,2.50186,301.32349,35.16457,1.35245,-1.51887,72.53570
10.34253,-1.86051,-1.21195,34.04036,20.39165,-5.20623,1.74978,1859.81970
28.87132,0.28396,-0.33399,30.04316,38.56686,-0.78677,2.63268,51.13186
33.28768,-0.85288,-2.95881,46.14648,21.13242,-2.78398,0.49405,171.64960
8.10153,0.73712,-2.73902,10.40395,36.30120,-2.22688,0.58090,170.23088
32.81121,1.34068,2.71751,66.98910,47.51242,1.66683,-0.28938,130.28384
23.75433,-0.67412,2.84661,29.35924,62.40110,-0.90931,-0.76897,90.02615
34.93610,0.21004,1.98925,35.70961,40.78454,-0.75029,-1.16816,52.81294
37.37969,0.06305,1.21394,37.45401,33.57215,1.16036,-2.00559,58.82602
38.40380,-0.44360,2.15244,42.24465,53.35136,1.12212,1.69203,90.61572
36.48265,-0.74811,-3.06792,47.17692,36.05604,-1.61642,0.12630,94.35249
47.30418,-2.27113,-3.02847,231.63734,38.63268,-0.94761,-1.65204,57.31548
6.22797,-4.99015,-0.86836,457.64978,5.45331,0.23480,2.35552,5.60432
29.23877,-1.65102,2.81585,79.00539,28.22538,0.24817,0.44226,29.09905
38.63023,2.31146,0.71241,196.78667,32.91684,1.29733,-2.54373,64.72739
27.93406,0.27766,1.50045,29.01780,37.28907,1.56258,-1.50413,92.86279
21.36182,-0.21423,0.01592,21.85391,25.06929,-2.53698,-2.92271,159.44746
39.92096,0.22804,0.13214,40.96348,37.07859,-0.03497,-3.05182,37.10126
23.99059,3.79808,1.72000,535.44537,20.68390,1.38954,-1.98721,44.07956
14.15948,4.52274,-2.80002,652.02954,49.96421,1.95513,-1.75600,180.03050
20.83851,-0.87493,-2.86834,29.33643,23.02824,-3.31036,-0.19447,315.84818
36.70700,2.17403,-1.35009,163.48183,30.57400,0.91843,2.01965,44.40107
2.83952,0.04889,2.40558,2.84291,10.73869,5.11035,-0.87074,889.88403
31.66557,-0.79961,-2.52964,42.33970,31.80274,-2.25747,0.72432,153.66333
43.39781,0.69743,-3.09042,54.38711,21.32846,-0.97058,0.62452,32.18832
15.39050,-0.50546,-1.92925,17.39874,20.85967,-3.38832,0.46729,309.24393
41.53883,1.13862,1.68730,71.50312,35.85671,0.56916,-1.48955,41.82300
29.97409,-1.57888,-2.12844,75.77052,30.73973,-3.23738,0.28859,392.02667
11.73574,3.86633,-2.89282,280.41217,10.85848,0.00485,0.55907,10.85860
13.51994,-0.49900,-0.48202,15.23839,104.40639,-2.32663,-0.92947,539.83014
31.51600,1.80834,-0.03785,98.71225,32.03172,0.39934,3.13517,34.61990
33.03645,2.77860,2.64408,266.91220,19.14823,0.69939,-0.03626,24.02541
23.46766,-0.62269,1.47824,28.16625,18.94955,1.86888,-1.69020,62.86798
39.58170,1.25591,-2.40211,75.12324,38.90472,0.87469,0.86284,54.76097
40.80407,3.38359,2.24613,602.07281,41.56221,3.76909,-0.91698,901.14514
13.20036,-0.01535,2.69517,13.20192,23.11191,-2.98781,1.37348,229.87877
22.68930,3.57559,0.73933,405.49823,24.12478,1.62264,-2.17698,63.49451
30.40882,0.29462,2.59582,31.73814,33.42769,1.74810,-1.30281,98.90852
45.76997,1.73581,-1.69459,133.87158,36.95617,1.60116,1.07875,95.35547
40.07681,0.87025,-2.24846,56.23486,36.72736,0.75944,0.92823,47.83764
36.69059,0.83123,1.34818,50.11300,42.83728,0.40276,-1.83321,46.35889
16.67167,5.64080,0.09132,2348.14014,26.00746,3.05220,-3.10213,275.79868
35.52831,1.55685,0.85909,88.01496,41.08739,0.97811,-2.25483,62.35940
29.35949,4.25415,-2.11931,1033.61646,35.90223,2.90554,0.97682,329.03964
34.95666,-2.38537,1.63523,191.47745,33.62571,-1.21595,-1.51308,61.70177
29.14693,-1.06423,0.07064,47.27052,34.26750,-2.37396,-2.99207,185.60971
63.76683,-4.36276,0.44854,2502.40015,28.83015,-3.61957,-2.75549,538.37726
32.06832,-1.52753,-0.19343,77.34626,38.34317,-2.67251,3.06967,278.85660
31.81357,-0.15603,-1.81089,32.20162,28.37674,1.26699,1.35281,54.36761
39.30543,2.20996,0.58099,181.29803,41.31463,2.58059,-2.18652,274.34314
30.93074,-3.56098,1.51986,544.78436,36.27494,-2.32731,-2.08018,187.68436
23.31840,1.18852,1.54794,41.82020,22.88480,-1.82675,-1.94188,72.94091
22.64560,1.59052,0.73485,57.86071,32.86126,3.47155,-1.83976,529.35663
39.55227,-0.62465,0.30955,47.52277,38.13800,-0.11634,-2.80335,38.39638
30.87562,-2.02573,1.98750,119.08009,46.85661,-2.91743,-0.44418,434.54279
15.37029,-2.97965,1.34070,151.64142,21.78381,-0.10747,-1.62162,21.90973
26.85850,3.54124,-2.09155,463.82660,35.06230,1.99284,1.41748,131.00362
48.51323,0.45334,2.93944,53.58442,36.46726,-0.43023,0.85498,39.89464
59.09459,-1.87899,-0.57456,197.95639,34.61547,-0.56658,0.56352,40.32164
60.18410,2.40523,1.14475,336.16611,25.84680,1.75571,-1.28663,77.02774
21.93840,-0.64914,1.11629,26.72520,71.56425,-1.98658,-0.53321,265.77911
27.87484,3.74410,2.21572,589.47974,20.42185,1.51681,-1.11858,48.77854
23.57349,1.46640,2.37844,53.79900,26.21569,-0.63365,-0.62825,31.65720
38.19080,0.18722,-3.01634,38.86209,43.58564,0.68089,0.15939,54.08538
45.41799,-2.81474,-2.18367,380.34564,32.29016,-1.86154,1.80578,106.38141
30.39739,1.72782,3.03418,88.24403,23.44949,3.65198,0.19339,452.30563
